universidade;curso;campus;turno/grau;redacao;ciencias humanas;ciencias da natureza;linguagens e codigos;matematica;soma pesos;nota corte
UFG;GEOGRAFIA;Câmpus Samambaia;Noturno (Licenciatura);2,5;2;1;2,5;2;10;617,61
UFG;ENGENHARIA DE MATERIAIS;Campus Aparecida de Goiânia;Integral (Bacharelado);1,5;1;2,5;2;3;10;617,64
UFG;GEOGRAFIA;Câmpus Samambaia;Matutino (Licenciatura);2,5;2;1;2,5;2;10;618,01
UFG;FÍSICA;Câmpus Samambaia;Noturno (Licenciatura);1,5;1;2,5;2;3;10;620,4
UFG;QUÍMICA;Câmpus Samambaia;Noturno (Licenciatura);1,5;1;2,5;2;3;10;627,61
UFG;LETRAS: LINGUÍSTICA;Câmpus Samambaia;Vespertino (Bacharelado);2,5;2,5;1;3;1;10;628,05
UFG;ENGENHARIA DE ALIMENTOS;Câmpus Samambaia;Integral (Bacharelado);1,5;1;2,5;2;3;10;632,17
UFG;ENGENHARIA FLORESTAL;Câmpus Samambaia;Integral (Bacharelado);2;1;3;2;2;10;634,16
UFG;HISTÓRIA;Câmpus Samambaia;Noturno (Licenciatura);2,5;2,5;1;3;1;10;640,8
UFG;ABI - CIÊNCIAS SOCIAIS;Câmpus Samambaia;Matutino (ABI);2,5;2;1;2,5;2;10;641,35
UFG;LETRAS: PORTUGUÊS;Câmpus Samambaia;Vespertino (Licenciatura);2,5;2,5;1;3;1;10;648,06
UFG;TEATRO;Câmpus Samambaia;Vespertino (Licenciatura);2,5;2,5;1;3;1;10;648,52
UFG;GEOGRAFIA;Câmpus Samambaia;Matutino (Bacharelado);2,5;2;1;2,5;2;10;648,54
UFG;ESTATÍSTICA;Câmpus Samambaia;Integral (Bacharelado);1,5;1;2,5;2;3;10;651,36
UFG;MATEMÁTICA;Câmpus Samambaia;Noturno (Licenciatura);1,5;1;2,5;2;3;10;653,55
UFG;CIÊNCIAS SOCIAIS - POLÍTICAS PÚBLICAS;Câmpus Samambaia;Noturno (Bacharelado);2,5;2;1;2,5;2;10;654,09
UFG;QUÍMICA;Câmpus Samambaia;Integral (Bacharelado);1,5;1;2,5;2;3;10;654,82
UFG;ENGENHARIA AMBIENTAL E SANITÁRIA;Câmpus Colemar Natal e Silva (Goiânia);Integral (Bacharelado);1,5;1;2,5;2;3;10;655,61
